"We will run a search for papers that 'study bees' [see ""word cloud input"" tab] and are in 'agriculture' with our search terms listed in the keywords, title, or abstract. Then we will (1) use the purple project criteria below to narrow down paper count; (2) use the green measurement criteria below to further refine; and (3) use the yellow reporting criteria below to get a final paper count. Finally, we will document what the paper measured (white columns) in order to bin the papers into hypothesis types.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,2018,Y,Y,Y,Y,N,Y,N,Rarefaction,Canada,,2012,1,58,,,1,B,1,,,Net,40,,,,,,781,,,,6,,,,"Genus, Species",,,,,,,,,,Y,,,Y,Y,Y,,,,Y,,Different number of people in different crops brings up the point that number of people not always reported but could be important!,Complementary crops and landscape features sustain wild bee communities,Genus,8,"Different measurements per crop, entry duplicated",1,0,0,1,0,1,0,3,1,5,1,0,0,0,0,0,North America
36,2018,Y,Y,Y,Y,N,Y,N,Rarefaction,Canada,,2012,1,58,,,1,R,1,,,Net,40,,,,,,5147,,,,16,,,,"Genus, Species",,,,,,,,,,Y,,,Y,Y,Y,,,,Y,,Different number of people in different crops brings up the point that number of people not always reported but could be important!,Complementary crops and landscape features sustain wild bee communities,Genus,8,"Different measurements per crop, entry duplicated",1,0,0,1,0,1,0,3,1,5,1,0,0,0,0,0,North America
37,2018,Y,Y,Y,Y,N,Y,N,,New Zealand,,2015,1,20,,,1,A,7.0,6,8,Visual (potted plants),,,,,10,,,,365,,,,4,,"Genus, Species",,,,,,,,,Y,Y,,,,,,,Y,,,,Also used sticky cards but did not report here because not common; 20 sites split between 2 properties separated by 50 m,"Do local landscape features affect wild pollinator abundance, diversity and community composition on canterbury farms?",Genus,8,That seems high for sampling trips,0,0,1,1,0,2,0,0,1,3,0,0,1,0,0,0,Oceania
38,2018,Y,Y,Y,Y,N,Y,N,,Thailand,,2015,1,24,,,1,A,1,,,Pan,,0.33,,,,,,3762,,,,9,,,"Genus, Species",,,,,,,,,,Y,,,Y,,,Y,Y,,,,,Effects of landscape cover and local habitat characteristics on visiting bees in tropical orchards,Genus,8,Duplicate to separate collection methods,0,1,0,1,0,1,0,1,2,4,0,1,0,0,0,0,Asia
38,2018,Y,Y,Y,Y,N,Y,N,,Thailand,,2015,1,24,,,1,A,1,,,Visual,,,,,120,,,,3842,,,,26,,"Genus, Species",,,,,,,,,,Y,,,Y,,,Y,Y,,,,,Effects of landscape cover and local habitat characteristics on visiting bees in tropical orchards,Genus,8,Duplicate to separate collection methods,0,0,1,1,0,1,0,1,2,4,0,0,1,0,0,0,Asia
39,2018,Y,Y,Y,Y,Y,Y,Y,,USA,NH,2014,3,9,,,1,A,14,,,"Pan traps, Net",36,0.33,,,,,,,,9105,,,,205,Species,,,,,,,,,Y,,,,,,,Y,,,,,Number of sample event reported as biweekly from April - Sep so I counted; total netting time not reported but I calculated it from reported methods,Farming for bees: annual variation in pollinator populations across agricultural landscapes,Species,9,,1,1,0,2,0,1,0,0,1,2,0,0,0,0,1,0,North America
40,2018,Y,Y,Y,Y,Y,Y,Y,,Belgium,,2014,2,4,,,1,A,6,,,Visual,,,,,30,,,,1813,,,,13,,Species,,,,Y,,,,,,,,,Y,Y,Y,,,,,,Calculated abundance and sp richness from a figure,Flower-strip agri-environment schemes provide diverse and valuable summer flower resources for pollinating insects,Species,9,,0,0,1,1,1,0,0,3,0,4,0,0,1,0,0,0,Europe
41,2018,Y,Y,Y,Y,N,Y,N,,Brazil,,2013,2,34,,,1,A,2,,,Net,20,,,,,,115,,,,19,,,,"Genus, Species",,,,,,,,,Y,Y,Y,,,,,,,,,,,Landscape and crop management strategies to conserve pollination services and increase yields in tropical coffee farms,Genus,8,,1,0,0,1,0,2,1,0,0,3,1,0,0,0,0,0,South America
42,2018,Y,Y,Y,Y,N,Y,Y/N,,France,,2013,1,30,,,2,A,2,,,Pan traps,,4.00,,,,,,2372,,,,65,,,"Species, Morpho-species",,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Morphospecies,7,,0,1,0,1,0,2,1,2,0,5,0,1,0,0,0,0,Europe
42,2018,Y,Y,Y,Y,N,Y,Y/N,,Germany,,2013,1,32,,,2,A,2,,,Pan traps,,4.00,,,,,,3354,,,,85,,,"Species, Morpho-species",,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Morphospecies,7,,0,1,0,1,0,2,1,2,0,5,0,1,0,0,0,0,Europe
42,2018,Y,Y,Y,Y,N,Y,Y/N,,Spain,,2013,1,20,,,2,A,2,,,Pan traps,,4.00,,,,,,3042,,,,110,,,"Species, Morpho-species",,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Morphospecies,7,,0,1,0,1,0,2,1,2,0,5,0,1,0,0,0,0,Europe
42,2018,Y,Y,Y,Y,N,Y,Y/N,,UK,,2013,1,12,,,2,A,2,,,Pan traps,,4.00,,,,,,545,,,,9,,,"Species, Morpho-species",,,,,,,,Y,,Y,Y,,Y,Y,,,,,,,,"Landscape configurational heterogeneity by small-scale agriculture, not crop diversity, maintains pollinators and plant reproduction in Western Europe",Morphospecies,7,,0,1,0,1,0,2,1,2,0,5,0,1,0,0,0,0,Europe
43,2018,Y,Y,Y,Y,N,Y,N,,USA,NY,2013,3,12,,,1,A,4,,,Visual,,,,,10,,,,5684,,,,99,,Species,,,,Y,,Y,,,,Y,Y,,Y,,,,Y,,,,,Landscape context shifts the balance of costs and benefits from wildflower borders on multiple ecosystem services,Species,9,,0,0,1,1,2,1,1,1,1,6,0,0,1,0,0,0,North America
44,2018,Y,Y,Y,Y,Y,Y,Y,,USA,MI,2015,3,10,,,1,B,4,,,Net,50,,,,,,1546,,,,109,,,,"Genus, Species",,,,Y,,,,,,,Y,,Y,Y,,,,,,,"This paper also had a second set of data for surveys in crop fields, but they did not report full species numbers so only reporting the surveys in flower strips here",Limited phenological and dietary overlap between bee communities inspringflowering crops and herbaceous enhancements,Genus,8,"Multiple Methods per crop, duplicate entries made",1,0,0,1,1,0,1,2,0,4,1,0,0,0,0,0,North America
44,2018,Y,Y,Y,Y,Y,Y,Y,,USA,MI,2015,3,10,,,1,C,3,,,Net,50,,,,,,840,,,,79,,,,"Genus, Species",,,,Y,,,,,,,Y,,Y,Y,,,,,,,"This paper also had a second set of data for surveys in crop fields, but they did not report full species numbers so only reporting the surveys in flower strips here",Limited phenological and dietary overlap between bee communities inspringflowering crops and herbaceous enhancements,Genus,8,"Multiple Methods per crop, duplicate entries made",1,0,0,1,1,0,1,2,0,4,1,0,0,0,0,0,North America
45,2018,Y,Y,Y,Y,N,Y,N,,Italy,,2015,2,25,,,1,A,1,,,Visual,,,,,20,,,,2449,,,,14,,"Species, Morpho-species",,,,,,,,,,Y,Y,,,,,,,,,,,Local and landscape factors effect sunflower pollination in a Mediterranean ecosystem,Morphospecies,7,,0,0,1,1,0,1,1,0,0,2,0,0,1,0,0,0,Europe
46,2018,Y,Y,Y,Y,N,Y,N,,USA,CA,2006,9,15,,,1,A,4.0,3,5,Net,60,,,,,,7179,,,,101,,,,"Species, Morpho-species",,,Y,,,,,,,,,,Y,Y,,Y,,,Y,,,Pollinator community assembly tracks changes in floral resources as restored hedgerows mature in agricultural landscapes,Morphospecies,7,That seems high for sampling trips,1,0,0,1,1,0,0,2,2,5,1,0,0,0,0,0,North America
47,2018,Y,Y,Y,Y,Y,Y,Y,,USA,SC,2016,1,126,,,1,A,3,,,"Pan traps, Net",20,1.00,,,,,,,,1026,,,,88,Species,,Y,,,,,,,,,,Y,Y,Y,,,,,,,,Restoration increases bee abundance and richness but not pollination in remnant and post-agricultural woodlands,Species,9,,1,1,0,2,1,0,1,2,0,4,0,0,0,0,1,0,North America
48,2018,Y,Y,Y,Y,N,Y,N,,Germany,,2013,1,36,,,1,A,3,,,Pan traps,,7.00,,,,,,1915,,,,81,,,Species,,,,,,,,,,,,,Y,Y,,,,,Y,,,Small-scale agricultural landscapes and organic management support wild bee communities of cereal field boundaries,Species,9,,0,1,0,1,0,0,0,2,1,3,0,1,0,0,0,0,Europe
49,2018,Y,Y,Y,Y,N,Y,N,,Germany,,2011,2,10,,,1,A,2,,,Pan traps,,3.00,,,,,,5241,,,,93,,,,,Y,,,,,,,,Y,,,,Y,,,,,,,,"Spatial community turnover of pollinators is relaxed by semi-natural habitats, but not by mass-flowering crops in agricultural landscapes",Morphospecies,7,,0,1,0,1,1,1,0,1,0,3,0,1,0,0,0,0,Europe
50,2018,Y,Y,Y,Y,N,Y,N,,Austria,,2016,2,16,,,1,A,5,,,Net,15,,,,,,493,,,,84,,,,Species,,,,,,,,,Y,,,,,,,Y,,,,,,Tillage intensity or landscape features: what matters most for wild bee diversity in vineyards?,Species,9,,1,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,Europe
51,2018,Y,Y,Y,Y,Y,Y,Y,,Switzerland,,2017,2,19,,,1,,3,,,"Net, Visual",,,,,,20,,,,744,,,,27,"Genus, Species",,,,Y,,,,,Y,,Y,,,Y,,,Y,,,,,Wildflower strips enhance pollination in adjacent strawberry crops at the small scale,Species,9,,1,0,1,2,1,1,1,1,1,5,0,0,0,1,0,0,Europe
52,2019,Y,Y,Y,Y,N,Y,N,,USA,ND,2016,2,20,,,1,,8.5,,,Visual,,,,,5,,,,4417,,,,30,,Morpho-species,,,,Y,,Y,Y,,Y,,,,Y,Y,,,,,,,"Specimens were collected, but not systematically so those abundances/diversity not reported here",Annual cover crops for managed and wild bees: optimal plant mixtures depend on pollinator enhancement goals,Morphospecies,7,,0,0,1,1,3,1,0,2,0,6,0,0,1,0,0,0,North America
53,2019,Y,Y,Y,Y,N,Y,N,,Italy,,2016,1,36,,,1,,4.65,,,Visual,,,,,30,,,,11525,,,,171,,Species,Y,Y,,,,,,,,Y,,,,Y,,,Y,,,,"They conducted one 15-min transect in the crop, and one 15-min transect in adjacent natural area. I combined their results into one line here but reported each crop and natural area as a different site",Effects of landscape complexity on pollinator are moderated by pollinator association with mass-flowering crops,Species,9,,0,0,1,1,2,1,0,1,1,5,0,0,1,0,0,0,Europe
54,2019,Y,Y,Y,Y,Y,Y,Y,,Germany,,2016,1,21,,,1,,3,,,"Net, Visual",5,,,,5,,,,,18,,,,4,"Morpho-species, Species",,,Y,,,,,,Y,,Y,,,Y,,,Y,,,,,Fruit quantity and quality of strawberries benefit from enhanced pollinator abundance at hedgerows in agricultural landscapes,Species,9,,1,0,1,2,1,1,1,1,1,5,0,0,0,1,0,0,Europe
55,2019,Y,Y,Y,Y,N,Y,N,,Greece,,2011,3,12,,,1,,3,,,Visual,,,,,12,,,,155,,,,3,,Genus,,,,Y,,Y,,,,,,,,Y,,,Y,,,,,Ground cover management with mixtures of flowering plants to enhance insect pollinators and natural enemies of pests in olive groves,Genus,8,,0,0,1,1,2,0,0,1,1,4,0,0,1,0,0,0,Europe
57,2019,Y,Y,Y,Y,N,Y,N,,"France, UK, Germany, Spain, Canada",,2011,5,1305,,,1,,2,,,Pan traps,,4,,,,,,13326,,,,343,,,Species,Y,Y,,,,,,Y,,Y,,,,,,,Y,,,,,Increasing crop heterogeneity enhances multitrophic diversity across agricultural regions,Species,9,,0,1,0,1,2,2,0,0,1,5,0,1,0,0,0,0,Europe
58,2019,Y,Y,Y,Y,N,Y,N,,China,,2017,1,11,,,1,,3,,,Visual,,,,,10,,,,4385,,,10,,,"Genus, Species",,Y,,,,,,,,Y,,Y,,,,,Y,,,,,Landscape-modified concentration effect and waylaying effect of bees and their consequences on pollination of mass-flowering plants in agricultural ecosystems,Genus,8,,0,0,1,1,1,1,1,0,1,4,0,0,1,0,0,0,Asia
59,2019,Y,Y,Y,Y,N,Y,N,,Finland,,2017,1,34,,,1,,3,,,Visual,,,,,20,,,,4188,,,,9,,"Morpho-species, Species",,,,,Y,,,,,Y,Y,,,,,,Y,,,,,Late flowering time enhances insect pollination of turnip rape,Species,9,,0,0,1,1,1,1,1,0,1,4,0,0,1,0,0,0,Europe
60,2019,Y,Y,Y,Y,N,Y,N,,USA,OH,2014,1,8,,,1,,6,,,Pan traps,,1,,,,,,1724,,,,53,,,Species,,,,,,,,,,,Y,,,,,,,,Y,,,Nesting habitat enhancements for wild bees within soybean fields increases crop production,Species,9,,0,1,0,1,0,0,1,0,1,2,0,1,0,0,0,0,North America
61,2019,Y,Y,Y,Y,N,Y,N,,Belgium,,2016,2,18,,,1,,1,,,Net,225,,,,,,1192,,,,22,,,,Species,,Y,,,,,,,,Y,Y,,,Y,,,,,,,,"Pollinator diversity, floral resources and semi-natural habitat, instead of honey bees and intensive agriculture, enhance pollination service to sweet cherry",Species,9,,1,0,0,1,1,1,1,1,0,4,1,0,0,0,0,0,Europe
62,2019,Y,Y,Y,Y,N,Y,N,,Spain,,2016,1,16,,,1,,5,,,Net,15,,,,,,134,,,,20,,,,Species,,,,,,,,,,Y,,,Y,Y,,Y,,,,,,"Response of wild bee diversity, abundance, and functional traits to vineyard inter-row management intensity and landscape diversity across Europe",Species,9,,1,0,0,1,0,1,0,2,1,4,1,0,0,0,0,0,Europe
62,2019,Y,Y,Y,Y,N,Y,N,,France,,2016,1,15,,,1,,5,,,Net,15,,,,,,181,,,,35,,,,Species,,,,,,,,,,Y,,,Y,Y,,Y,,,,,,"Response of wild bee diversity, abundance, and functional traits to vineyard inter-row management intensity and landscape diversity across Europe",Species,9,,1,0,0,1,0,1,0,2,1,4,1,0,0,0,0,0,Europe
62,2019,Y,Y,Y,Y,N,Y,N,,Austria,,2016,1,16,,,1,,5,,,Net,15,,,,,,329,,,,64,,,,Species,,,,,,,,,,Y,,,Y,Y,,Y,,,,,,"Response of wild bee diversity, abundance, and functional traits to vineyard inter-row management intensity and landscape diversity across Europe",Species,9,,1,0,0,1,0,1,0,2,1,4,1,0,0,0,0,0,Europe
62,2019,Y,Y,Y,Y,N,Y,N,,Romania,,2016,1,16,,,1,,5,,,Net,15,,,,,,77,,,,38,,,,Species,,,,,,,,,,Y,,,Y,Y,,Y,,,,,,"Response of wild bee diversity, abundance, and functional traits to vineyard inter-row management intensity and landscape diversity across Europe",Species,9,,1,0,0,1,0,1,0,2,1,4,1,0,0,0,0,0,Europe
63,2019,Y,Y,Y,Y,N,Y,N,,Germany,,2016,1,27,,,1,,2,,,Net,30,,,,,,5862,,,,56,,,,Species,,,,Y,,,,,Y,,,,,Y,,,,,,,,"Size, age and surrounding semi-natural habitat modulate the effectiveness of flower-rich agri-environment schemes promote pollinator visitation in crop fields",Species,9,,1,0,0,1,1,1,0,1,0,3,1,0,0,0,0,0,Europe
64,2019,Y,Y,Y,Y,N,Y,N,,Mexico,,2016,2,13,,,1,,1,,,Pan traps,,1.25,,,,,,3823,,,,45,,,"Genus, Species",,Y,,,,,,,Y,,,,,,,,,,,,,The effect of adjacent habitat on native bee assemblages in a perennial low-input agroecosystem in a semiarid anthropized landscape,Species,9,,0,1,0,1,1,1,0,0,0,2,0,1,0,0,0,0,North America
56,2020,Y,Y,Y,Y,N,Y,N,,Spain,,2011,2,6,,,1,,7,,,Pan traps,,14,,,,,,6077,,,,58,,,"Family, Genus, Morpho-species, Species",,Y,,,,,,,Y,,,,Y,Y,,,,,,,"This study also conducted visual surveys, but they did not report the abudance and diversity of that method, only of pan traps, so I did not report any visual survey info",How bees respond differently to field margins of shrubby and herbaceous plants in intensive agricultural crops of the Mediterranean area,Species,9,,0,1,0,1,1,1,0,2,0,4,0,1,0,0,0,0,Europe
65,2020,Y,Y,Y,Y,N,Y,N,,Australia,,2017,1,14,,,1,,4,,,Visual,,,,,40,,,,3287,,,,8,,Morpho-species,,,,,,,,,Y,Y,,,,,Y,,,,,,"Should we include this? They only used morpho-species so cap their species richness from the beginning. Also had blue vane data, not included here",Flower visitation and land cover associations of above ground- and below ground-nesting native bees in an agricultural region of south-east Australia,Morphospecies,7,,0,0,1,1,0,2,0,1,0,3,0,0,1,0,0,0,Oceania
66,2020,Y,Y,Y,Y,Y,Y,Y,,USA,ME,2014,2,56,,,1,,3,,,"Net, Pan traps",30,1,,,,,,,,2094,,,,135,Species,Y,,,,,,,,Y,,,,Y,Y,,Y,,,,,,Noncrop Habitat Use by Wild Bees (Hymenoptera: Apoidea) in a Mixed-Use Agricultural Landscape,Species,9,,1,1,0,2,1,1,0,2,1,5,0,0,0,0,1,0,North America
67,2020,Y,Y,Y,Y,N,Y,N,Rarefaction,Mexico,,2014,1,4,,,1,,12,,,Net,60,,,,,,2115,,,,79,,,,Species,,,,,,,,,Y,,,,,,,,,,,,,Seasonal abundance and diversity of native bees in a patchy agricultural landscape in Southern Mexico,Species,9,,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,North America
68,2020,Y,Y,Y,Y,N,Y,N,,Canada,,2018,1,12,,,1,,2,,,Net,15,,,,,,784,,,,70,,,,Species,,Y,,,,,,,Y,Y,,,,Y,,,,,,,"Two observers, so could be 30 min",Small wild bee abundance declines with distance into strawberry crops regardless of field margin habitat,Species,9,,1,0,0,1,1,2,0,1,0,4,1,0,0,0,0,0,North America
69,2020,Y,Y,Y,Y,N,Y,N,,UK,,2013,4,10,,,1,,3,,,Net,10,,,,,,1002,,,,42,,,,Species,Y,,,Y,,,,,,,Y,,,,,,Y,,,,"Also did crop flower observations, but did not include because reported bees and flies combined",The potential for wildflower interventions to enhance natural enemies and pollinators in commercial apple orchards is limited by other management practices,Species,9,,1,0,0,1,2,0,1,0,1,4,1,0,0,0,0,0,Europe
70,2023,Y,Y,Y,Y,N,Y,N,,USA,NC,2016,3,12,,,1,,4,,,Net,60,,,,,,11896,,,,117,,,,"Genus, Species",,,,Y,,Y,,Y,,,,,Y,Y,,Y,,,,,"My paper, can give more details if needed",Planted pollinator habitat in agroecosystems: How does the pollinator community respond?,Species,9,,1,0,0,1,2,1,0,2,1,6,1,0,0,0,0,0,North America
70,2023,Y,Y,Y,Y,N,Y,N,,USA,NC,2016,3,16,,,1,,4,,,Pan traps,,0.25,,,,,,4142,,,,55,,,"Genus, Species",,,,Y,,Y,,Y,,,,,,,,,,,,,"My paper, can give more details if needed",Planted pollinator habitat in agroecosystems: How does the pollinator community respond?,Species,9,,0,1,0,1,2,1,0,0,0,3,0,1,0,0,0,0,North America
71,2022,Y,Y,Y,Y,N,Y,N,,USA,NC,2017,2,12,,,1,,4,,,Net,30,,,,,,1643,,,,28,,,,"Genus, Species",,,,Y,,,,Y,,,,,Y,Y,,,,Y,,,"Should we include this? I found less species because my goal of sampling was different, is this biased now? My paper, can give more details if needed",Effects of planted pollinator habitat on pathogen prevalence and interspecific detection between bee species,Species,9,,1,0,0,1,1,1,0,2,1,5,1,0,0,0,0,0,North America
72,2022,Y,Y,Y,Y,N,Y,N,,USA,NC,2019,1,24,,,1,,2.75,,,Net,20,,,,,,1617,,,,51,,,,"Genus, Species",,,,Y,,,,Y,,,Y,,Y,Y,,,,,,,"My paper, can give more details if needed",Evaluating the impact of increased pollinator habitat on bee visitation and yield metrics in soybean crops,Species,9,,1,0,0,1,1,1,1,2,0,5,1,0,0,0,0,0,North America
72,2022,Y,Y,Y,Y,N,Y,N,,USA,NC,2019,1,24,,,1,,2.75,,,Visual,,,,,40,,,,5601,,,,26,,"Genus, Species",,,,Y,,,,Y,,,Y,,Y,Y,,,,,,,"My paper, can give more details if needed",Evaluating the impact of increased pollinator habitat on bee visitation and yield metrics in soybean crops,Species,9,,0,0,1,1,1,1,1,2,0,5,0,0,1,0,0,0,North America